order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,cost_price,quantity,discount_amount,sale_price,profit
1,3/1/2023 0:00,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,FUR-BO-10001798,240,2,5.2,254.8,14.8
2,8/15/2023 0:00,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,FUR-CH-10000454,600,3,21.9,708.1,108.1
3,1/10/2023 0:00,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,OFF-LA-10000240,10,2,0.5,9.5,-0.5
4,6/18/2022 0:00,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,FUR-TA-10000577,780,5,19.2,940.8,160.8
5,7/13/2022 0:00,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,OFF-ST-10000760,20,2,1,19,-1
6,3/13/2022 0:00,Regular Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,FUR-FU-10001487,50,7,1.5,48.5,-1.5
7,12/28/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,OFF-AR-10002833,10,4,0.3,9.7,-0.3
8,1/25/2022 0:00,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002275,860,6,45.5,864.5,4.5
9,3/23/2023 0:00,Regular Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,OFF-BI-10003910,20,3,0.4,19.6,-0.4
10,5/16/2023 0:00,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,OFF-AP-10002892,90,5,3.3,106.7,16.7
11,3/31/2023 0:00,Regular Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,FUR-TA-10001539,1470,9,51.3,1658.7,188.7
12,12/25/2023 0:00,Regular Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,TEC-PH-10002033,750,4,27.3,882.7,132.7
13,2/11/2022 0:00,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,OFF-PA-10002365,20,3,0.6,19.4,-0.6
14,7/18/2023 0:00,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,OFF-BI-10003656,360,3,8.2,401.8,41.8
15,11/9/2023 0:00,Regular Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,OFF-AP-10002311,60,5,3.5,66.5,6.5
16,6/18/2022 0:00,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,OFF-BI-10000756,0,3,0,0,0
17,2/4/2022 0:00,Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,OFF-ST-10004186,610,6,20.1,649.9,39.9
18,8/4/2023 0:00,Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,OFF-ST-10000107,60,2,2.4,57.6,-2.4
19,1/23/2022 0:00,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,OFF-AR-10003056,10,2,0.4,9.6,-0.4
20,1/11/2022 0:00,Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,TEC-PH-10001949,170,3,6.3,203.7,33.7
21,10/5/2022 0:00,Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,OFF-BI-10002215,20,4,0.4,19.6,-0.4
22,7/16/2023 0:00,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,OFF-AR-10000246,20,7,0.8,19.2,-0.8
23,5/6/2023 0:00,Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,OFF-AP-10001492,50,7,1.8,58.2,8.2
24,5/21/2023 0:00,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,FUR-CH-10002774,60,2,2.8,67.2,7.2
25,2/24/2023 0:00,Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,FUR-TA-10000577,900,3,52,988,88
26,6/20/2022 0:00,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,OFF-BI-10001634,10,2,0.5,9.5,-0.5
27,2/8/2022 0:00,Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,TEC-AC-10003027,80,3,2.7,87.3,7.3
28,12/11/2023 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,FUR-BO-10004834,2740,7,92.4,2987.6,247.6
29,8/21/2022 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10000474,10,2,0.5,9.5,-0.5
30,8/14/2022 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,100,3,4.8,115.2,15.2
31,11/20/2022 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,OFF-EN-10001509,0,2,0,0,0
32,1/19/2023 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10004042,70,6,3.6,86.4,16.4
33,1/30/2023 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,OFF-BI-10001525,10,6,0.5,9.5,-0.5
34,6/3/2022 0:00,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,OFF-AR-10001683,20,2,0.8,19.2,-0.8
35,9/28/2022 0:00,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,OFF-PA-10000249,30,3,0.9,29.1,-0.9
36,10/30/2022 0:00,First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,TEC-PH-10004977,1020,7,55,1045,25
37,7/27/2023 0:00,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,180,5,7.6,182.4,2.4
38,3/7/2023 0:00,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,90,9,2.2,107.8,17.8
39,8/18/2023 0:00,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,460,3,10.6,519.4,59.4
40,1/20/2022 0:00,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,200,3,4.2,205.8,5.8
41,6/29/2023 0:00,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,350,4,18.5,351.5,1.5
42,6/28/2022 0:00,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,140,4,4.5,145.5,5.5
43,2/9/2023 0:00,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,70,2,4,76,6
44,9/18/2023 0:00,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,90,2,4,96,6
45,11/11/2022 0:00,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,40,2,1,49,9
46,5/27/2022 0:00,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,20,2,1,19,-1
